id,raw_skill_text,normalized_text,occurrence_count,status,source_type,source_model,source_object_id,example_job,rough_bucket,proposed_decision,proposed_target_canonical_skill,proposed_target_category,confidence,approved_for_phase_15d,decision_reason
143,Windows,windows,48,pending,job,,32,Data Engineer (H/F) | CIRIL GROUP | active,review_high_value,already_resolved,Windows,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
189,Cybersécurité,cybersecurite,34,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_high_value,already_resolved,Cybersecurity,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
151,DevOps,devops,30,pending,job,,36,Ingénieur devops CKA - Lyon (H/F) | EPSYL | active,review_high_value,already_resolved,DevOps,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
238,API REST,api rest,27,pending,job,,95,Développeur web full stack (H/F) | GERESO | active,review_high_value,already_resolved,REST API,backend,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
156,Cloud,cloud,25,pending,job,,38,Ingénieur DevOps Cloud (H/F) | KINGFISHER INFORMATION TECHNOLOGY SERVIC | active,review_high_value,already_resolved,Cloud,cloud,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
219,Active Directory,active directory,23,pending,job,,48,Expert Cybersécurité (H/F) | SERAP INDUSTRIES | active,review_high_value,already_resolved,Active Directory,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
313,NoSQL,nosql,21,pending,job,,125,Développeur Java Sénior / Cloud GCP - DevOps (H/F) - CDI (H/F) | INFOKAPPA | active,review_high_value,already_resolved,NoSQL,database,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
672,Hardware Maintenance,hardware maintenance,18,pending,job,,1077,Alternant(e) informatique (H/F) | TEAM EMPLOI | active,review_frequency,already_resolved,Hardware Maintenance,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
311,Technical Documentation,technical documentation,18,pending,job,,121,Ingénieur Développeur Full Stack F/H (H/F) | INFORMATIS TECHNOLOGY SYSTM | active,review_generic,already_resolved,Technical Documentation,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
221,Réseaux,reseaux,16,pending,job,,50,Alternant en cybersécurité (H/F) | TRANSPORTS CHABAS FRAICHEUR | active,review_high_value,already_resolved,Network Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
128,Data Modeling,data modeling,15,pending,job,,31,Data Engineer Python Spark + ETL/ELT (H/F) | HOLENEK INGENIERIE | active,review_high_value,already_resolved,Data Modeling,data_ai,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
164,OpenShift,openshift,15,pending,job,,40,Ingénieur Développement DevOps  (H/F) | INSTITUT FRANCAIS DE RECHERCHE POUR L EX | active,review_frequency,already_resolved,OpenShift,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
141,PowerShell,powershell,15,pending,job,,32,Data Engineer (H/F) | CIRIL GROUP | active,review_high_value,already_resolved,PowerShell,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
155,Scripting,scripting,15,pending,job,,38,Ingénieur DevOps Cloud (H/F) | KINGFISHER INFORMATION TECHNOLOGY SERVIC | active,review_frequency,already_resolved,Scripting,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
755,Design Patterns,design patterns,12,pending,job,,1100,Développeur Java Confirmé UX/UI H/F (H/F) | Scalian | active,review_frequency,already_resolved,Design Patterns,backend,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
324,ERP,erp,12,pending,job,,128,Developpeur informatique projet (H/F) | LYNX RH SERVICES DEV | active,review_frequency,already_resolved,ERP,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
838,IT support,it support,12,pending,job,,1123,Alternant Support Informatique  - Identité numérique (H/F) | CHAMBERSIGN FRANCE | active,review_frequency,already_resolved,IT Support,tools,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
409,Monitoring,monitoring,12,pending,job,,157,Ingénieur Développement Logiciel Industriel / Supervision C# (H/F) |  | active,review_frequency,already_resolved,Monitoring,devops,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
198,Sécurité des applications,securite des applications,12,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Application Security,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
546,VLAN,vlan,12,pending,job,,796,Ingénieur Systèmes - Automatisation & DevOps | TELESPAZIO FRENCH GUIANA | active,review_frequency,already_resolved,VLAN,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
660,Documentation technique,documentation technique,10,pending,job,,1074,Développeur Informatique en Alternance (H/F) | MEWO | active,review_generic,already_resolved,Technical Documentation,methodology,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
192,Gestion des vulnérabilités,gestion des vulnerabilites,10,pending,job,,45,Expert/Experte cybersécurité des projets (H/F) |  | active,review_frequency,already_resolved,Vulnerability Management,security,high,yes,"Now maps to existing Skill/SkillAlias after Phase 15B; mark candidate resolved, do not add duplicate."
